word_count,char_count,sly_count,level
10,53,17,1
13,79,28,2
11,57,20,1
24,151,50,2
12,87,25,2
10,71,25,2
7,53,16,2
12,87,25,2
10,71,25,2
7,53,16,2
12,87,25,2
10,71,25,2
7,53,16,2
12,98,30,2
7,53,15,2
17,125,38,2
7,41,13,1
9,56,19,2
11,76,23,2
14,94,33,2
14,128,37,2
18,146,43,2
47,345,111,2
12,97,29,2
12,91,28,2
15,102,30,2
17,114,37,2
12,97,29,2
12,91,28,2
15,102,30,2
17,114,37,2
12,97,29,2
12,91,28,2
15,102,30,2
17,114,37,2
12,97,29,2
12,91,28,2
15,102,30,2
17,114,37,2
21,163,47,2
20,134,39,2
8,44,14,1
8,43,14,1
8,44,14,1
8,43,14,1
8,44,14,1
8,43,14,1
5,35,10,1
20,138,43,2
21,130,43,2
5,35,10,1
20,138,43,2
21,130,43,2
5,35,10,1
20,138,43,2
21,130,43,2
5,35,10,1
20,138,43,2
8,48,18,2
19,134,44,2
22,144,47,2
22,171,52,2
23,162,54,2
17,136,46,2
10,83,30,2
14,93,31,2
3,32,10,3
10,83,30,2
14,93,31,2
3,32,10,3
10,83,30,2
14,93,31,2
13,90,24,1
11,79,21,1
11,57,15,1
16,96,31,2
11,72,22,2
9,63,18,2
31,185,56,2
9,63,18,2
31,185,56,2
13,100,29,2
15,107,35,2
11,75,22,2
15,107,35,2
2,4,2,1
1,1,1,1
18,125,38,2
8,54,15,1
6,33,9,1
6,35,11,1
14,93,28,2
8,54,15,1
6,33,9,1
6,35,11,1
14,93,28,2
8,54,15,1
6,33,9,1
6,35,11,1
14,93,28,2
8,54,15,1
6,33,9,1
6,35,11,1
9,61,21,2
8,48,15,1
15,95,27,1
9,55,15,1
10,54,14,1
17,107,30,1
9,55,15,1
10,54,14,1
17,107,30,1
9,55,15,1
10,54,14,1
17,107,30,1
9,55,15,1
10,54,14,1
11,69,19,1
13,89,25,1
8,53,17,2
15,77,24,1
9,57,16,1
13,89,25,1
8,53,17,2
15,77,24,1
9,57,16,1
13,89,25,1
8,53,17,2
15,77,24,1
9,57,16,1
13,89,25,1
8,53,17,2
15,77,24,1
21,141,43,2
15,80,24,1
1,1,1,1
5,33,12,2
15,80,24,1
1,1,1,1
5,33,12,2
8,53,16,1
13,85,31,2
5,41,10,1
3,23,9,2
5,41,10,1
12,87,27,2
15,100,31,2
15,106,32,2
29,224,66,2
32,236,73,2
16,118,40,2
14,90,30,2
8,51,17,2
4,34,9,2
8,51,17,2
4,34,9,2
16,114,40,2
18,143,47,2
16,114,40,2
18,143,47,2
15,106,35,2
12,75,24,2
12,80,26,2
5,31,10,1
12,80,26,2
7,48,17,2
4,23,5,1
14,90,28,2
4,23,5,1
14,90,28,2
7,38,13,1
12,76,24,2
17,112,34,2
12,62,21,1
7,43,15,2
13,72,24,1
16,94,28,1
10,66,25,2
7,40,10,1
6,42,16,2
24,157,54,2
14,100,32,2
3,25,8,2
10,66,25,2
7,40,10,1
6,42,16,2
24,157,54,2
14,100,32,2
3,25,8,2
10,66,25,2
7,40,10,1
6,42,16,2
24,157,54,2
14,100,32,2
3,25,8,2
10,66,25,2
7,40,10,1
6,42,16,2
24,157,54,2
14,100,32,2
3,25,8,2
10,66,25,2
7,40,10,1
6,42,16,2
24,157,54,2
14,100,32,2
3,25,8,2
10,66,25,2
7,40,10,1
6,42,16,2
24,157,54,2
14,100,32,2
34,187,57,1
21,136,39,2
8,45,15,1
7,43,14,1
17,93,28,1
8,43,14,1
8,46,13,1
8,43,14,1
41,248,69,2
28,152,47,1
9,50,15,1
21,110,32,1
12,82,24,2
5,35,10,1
11,69,21,1
10,75,22,2
11,69,21,1
10,75,22,2
16,82,26,1
3,15,5,1
7,50,15,2
12,65,20,1
3,15,5,1
7,50,15,2
12,65,20,1
3,15,5,1
7,50,15,2
37,231,76,2
40,246,81,2
7,26,10,1
17,94,32,1
4,11,5,1
17,94,32,1
8,46,14,1
18,104,29,1
17,122,38,2
10,50,13,1
6,23,8,1
17,122,38,2
10,50,13,1
6,23,8,1
17,122,38,2
10,50,13,1
6,23,8,1
8,58,17,2
5,28,11,2
17,105,30,1
14,88,26,1
9,74,25,2
15,85,26,1
14,88,26,1
9,74,25,2
15,85,26,1
14,88,26,1
9,74,25,2
7,50,14,1
19,133,47,2
19,144,50,2
7,50,14,1
19,133,47,2
19,144,50,2
7,50,14,1
19,133,47,2
19,144,50,2
16,140,49,3
11,74,23,2
6,49,15,2
11,74,23,2
6,50,16,2
2,12,4,1
1,4,1,1
5,25,7,1
5,49,13,2
2,5,2,1
3,32,10,3
2,12,4,1
1,4,1,1
5,25,7,1
5,49,13,2
2,5,2,1
3,32,10,3
2,12,4,1
1,4,1,1
5,25,7,1
5,49,13,2
2,5,2,1
3,32,10,3
7,72,21,2
6,57,17,2
17,98,36,2
21,157,46,2
2,12,4,1
15,130,44,2
6,31,10,1
5,37,11,2
1,3,1,1
5,44,13,2
3,14,3,1
3,16,6,1
2,17,4,1
1,3,1,1
5,44,13,2
3,14,3,1
3,16,6,1
2,17,4,1
1,3,1,1
5,44,13,2
3,14,3,1
3,16,6,1
2,17,4,1
9,87,22,2
8,52,13,1
3,17,4,1
3,23,7,2
2,11,4,1
8,52,13,1
3,17,4,1
3,23,7,2
2,11,4,1
8,52,13,1
3,17,4,1
3,23,7,2
4,24,7,1
13,108,33,2
4,25,6,1
4,40,12,2
5,44,12,2
1,4,1,1
8,61,17,2
5,23,7,1
1,4,1,1
8,61,17,2
4,26,9,2
2,7,3,1
1,1,1,1
2,11,4,1
1,1,1,1
2,8,4,1
1,1,1,1
1,4,1,1
10,58,17,1
4,41,12,2
16,97,22,1
1,3,1,1
1,4,1,1
1,3,1,1
2,17,4,1
6,34,10,1
9,61,17,1
6,55,15,2
7,58,16,2
9,74,21,2
1,2,1,1
1,2,1,1
1,2,1,1
2,10,2,1
2,17,4,1
6,30,9,1
40,304,90,2
14,107,32,2
6,18,6,1
1,3,1,1
2,12,3,1
9,55,16,1
6,26,8,1
4,36,8,1
37,245,76,2
1,7,1,1
1,9,4,3
1,9,3,2
44,394,117,2
8,39,13,1
4,16,5,1
6,51,19,3
2,21,8,3
26,176,54,2
13,100,32,2
13,98,31,2
2,19,5,2
20,121,45,2
22,149,44,2
10,64,21,2
7,47,14,1
16,90,27,1
10,64,21,2
7,47,14,1
16,90,27,1
10,64,21,2
7,47,14,1
7,31,9,1
11,55,20,1
6,29,8,1
11,55,20,1
4,38,11,2
7,39,12,1
4,22,6,1
7,39,12,1
7,42,14,1
11,65,20,1
8,52,16,1
6,36,11,1
14,82,25,1
22,126,39,1
11,61,19,1
5,22,7,1
11,61,19,1
16,103,32,2
8,59,20,2
12,79,24,2
8,59,20,2
6,48,13,2
10,76,22,2
7,51,14,1
25,139,43,1
6,41,14,2
9,61,22,2
16,105,36,2
7,44,14,1
11,79,26,2
14,81,26,1
24,105,34,1
17,84,26,1
15,108,33,2
16,114,34,2
16,129,38,2
15,114,42,2
12,66,23,1
11,72,24,2
17,107,32,1
7,47,14,1
15,114,42,2
12,66,23,1
11,72,24,2
17,107,32,1
7,47,14,1
15,114,42,2
12,66,23,1
11,72,24,2
17,107,32,1
7,47,14,1
15,114,42,2
12,66,23,1
11,72,24,2
17,107,32,1
7,47,14,1
15,114,42,2
12,66,23,1
11,72,24,2
17,107,32,1
7,47,14,1
7,44,15,2
6,53,18,2
5,23,8,1
1,1,1,1
10,63,20,2
6,53,18,2
5,23,8,1
1,1,1,1
10,63,20,2
6,53,18,2
5,23,8,1
1,1,1,1
10,63,20,2
6,53,18,2
5,23,8,1
1,1,1,1
15,117,37,2
12,84,30,2
12,76,24,2
22,159,51,2
25,181,56,2
16,104,32,2
18,132,40,2
7,40,15,2
1,1,1,1
30,261,81,2
4,40,12,2
3,33,8,2
4,19,5,1
2,2,2,1
4,20,8,1
1,1,1,1
4,15,5,1
4,19,5,1
2,2,2,1
4,20,8,1
1,1,1,1
4,29,8,1
4,28,10,2
2,6,2,1
1,5,1,1
22,178,50,2
4,19,5,1
2,2,2,1
4,20,8,1
1,1,1,1
4,15,5,1
4,19,5,1
2,2,2,1
4,20,8,1
1,1,1,1
5,30,9,1
8,89,29,3
1,7,3,2
13,91,21,1
1,1,1,1
17,108,33,2
1,7,1,1
1,9,4,3
1,9,3,2
27,255,79,3
8,39,13,1
4,16,5,1
6,51,19,3
2,21,8,3
3,19,5,1
12,67,21,1
5,25,8,1
6,38,10,1
6,38,13,2
3,17,6,1
6,36,10,1
14,101,36,2
5,35,11,2
8,48,15,1
6,28,7,1
4,19,7,1
11,53,17,1
4,25,9,2
7,42,12,1
10,61,18,1
13,92,29,2
6,36,12,1
5,31,11,2
9,63,22,2
4,27,6,1
9,67,23,2
7,39,13,1
3,13,4,1
5,25,6,1
11,72,24,2
8,48,16,1
5,28,8,1
3,18,6,1
11,65,20,1
2,7,3,1
1,7,1,1.0
