word_count,char_count,sly_count,level
16,121,37,2
17,114,34,2
11,79,26,2
13,83,25,1
11,79,26,2
13,83,25,1
11,79,26,2
23,156,50,2
4,38,13,3
8,53,19,2
16,111,39,2
11,72,24,2
4,26,8,1
4,38,13,3
8,53,19,2
16,111,39,2
11,72,24,2
4,26,8,1
4,38,13,3
8,53,19,2
16,111,39,2
11,72,24,2
4,26,8,1
4,38,13,3
8,53,19,2
16,111,39,2
11,72,24,2
4,26,8,1
4,38,13,3
8,53,19,2
16,111,39,2
11,72,24,2
32,250,78,2
10,65,19,1
6,43,13,2
8,58,16,1
14,99,32,2
8,50,16,1
10,73,25,2
8,69,16,1
9,55,17,1
6,47,11,1
9,55,17,1
7,41,12,1
13,92,31,2
14,86,26,1
7,41,12,1
13,92,31,2
14,86,26,1
7,41,12,1
13,92,31,2
14,86,26,1
21,151,47,2
16,103,31,2
15,125,39,2
20,142,40,2
21,142,41,2
12,77,24,2
2,11,2,1
20,142,40,2
21,142,41,2
12,77,24,2
2,11,2,1
20,142,40,2
21,142,41,2
12,77,24,2
2,11,2,1
20,142,40,2
21,142,41,2
12,77,24,2
13,81,22,1
10,69,25,2
6,34,9,1
10,69,25,2
9,68,21,2
11,78,23,2
13,87,26,2
18,126,39,2
8,53,17,2
17,121,41,2
8,51,15,1
18,132,43,2
12,82,28,2
12,87,28,2
12,82,28,2
8,59,17,2
13,65,21,1
9,41,13,1
21,126,39,2
17,122,36,2
11,80,27,2
20,141,46,2
12,72,20,1
11,80,27,2
20,141,46,2
12,72,20,1
11,80,27,2
20,141,46,2
12,72,20,1
17,130,42,2
20,118,36,1
14,103,33,2
20,118,36,1
19,131,41,2
10,61,19,1
23,158,47,2
15,92,26,1
16,94,27,1
5,34,10,1
10,66,21,2
13,93,29,2
8,57,18,2
10,56,17,1
8,65,15,1
8,53,17,2
13,88,28,2
8,65,15,1
8,53,17,2
13,88,28,2
8,65,15,1
8,53,17,2
13,88,28,2
41,338,94,2
19,141,49,2
9,58,21,2
21,135,40,2
15,110,31,2
14,126,38,2
19,141,49,2
9,58,21,2
21,135,40,2
15,110,31,2
14,126,38,2
19,141,49,2
9,58,21,2
21,135,40,2
15,110,31,2
14,126,38,2
19,141,49,2
9,58,21,2
21,135,40,2
15,110,31,2
14,126,38,2
19,141,49,2
9,58,21,2
21,135,40,2
15,110,31,2
6,50,18,2
10,60,21,2
15,100,32,2
18,127,39,2
15,120,41,2
12,96,31,2
11,83,28,2
12,96,31,2
10,67,20,2
16,117,27,1
15,110,35,2
10,69,18,1
12,97,30,2
10,74,23,2
10,69,18,1
12,97,30,2
10,74,23,2
10,69,18,1
12,97,30,2
12,77,24,2
2,3,2,1
1,1,1,1
12,91,30,2
7,52,17,2
13,92,30,2
7,52,17,2
13,92,30,2
7,52,17,2
41,225,73,2
16,123,43,2
11,79,21,1
7,46,13,1
9,60,17,1
7,46,13,1
12,89,23,1
12,103,31,2
12,88,27,2
8,45,16,1
5,43,11,2
10,64,19,1
6,35,11,1
5,25,8,1
6,35,11,1
8,54,15,1
14,84,23,1
8,54,15,1
14,84,23,1
17,122,40,2
14,97,28,2
8,47,12,1
8,46,15,1
14,97,28,2
8,47,12,1
8,46,15,1
14,97,28,2
8,47,12,1
8,46,15,1
22,158,43,2
15,106,32,2
20,134,40,2
11,83,24,2
19,136,38,2
15,106,32,2
20,134,40,2
11,83,24,2
19,136,38,2
15,106,32,2
20,134,40,2
11,83,24,2
19,136,38,2
15,106,32,2
20,134,40,2
11,83,24,2
15,110,31,2
12,91,28,2
17,105,33,2
16,101,32,2
17,91,32,1
6,40,12,1
11,86,29,2
13,109,40,3
17,91,32,1
6,40,12,1
11,86,29,2
13,109,40,3
17,91,32,1
6,40,12,1
11,86,29,2
13,109,40,3
17,91,32,1
6,40,12,1
11,86,29,2
13,109,40,3
9,74,24,2
5,35,10,1
7,54,18,2
5,35,10,1
11,84,25,2
10,68,21,2
14,98,31,2
9,62,20,2
10,68,21,2
14,98,31,2
9,62,20,2
10,68,21,2
14,98,31,2
12,73,23,1
13,109,36,2
21,134,34,1
15,91,25,1
16,106,29,1
15,91,25,1
16,106,29,1
15,91,25,1
27,182,52,2
24,168,49,2
18,133,43,2
11,85,28,2
5,35,11,2
12,77,23,1
22,128,39,1
14,99,32,2
29,220,68,2
20,131,38,2
13,112,37,2
20,131,38,2
17,155,49,2
10,45,11,1
12,88,30,2
21,114,37,1
4,7,4,1
11,68,23,2
3,4,3,1
4,6,4,1
23,148,45,2
12,88,30,2
21,114,37,1
4,7,4,1
11,68,23,2
3,4,3,1
4,6,4,1
23,148,45,2
12,88,30,2
21,114,37,1
4,7,4,1
11,68,23,2
3,4,3,1
4,6,4,1
23,148,45,2
12,88,30,2
21,114,37,1
4,7,4,1
11,68,23,2
3,4,3,1
4,6,4,1
23,148,45,2
12,88,30,2
21,114,37,1
4,7,4,1
11,68,23,2
3,4,3,1
4,6,4,1
36,222,66,2
11,75,25,2
23,122,35,1
11,75,25,2
23,122,35,1
11,75,25,2
18,106,32,1
17,152,49,2
36,264,81,2
26,179,58,2
13,83,24,1
22,156,49,2
13,83,24,1
15,110,40,2
14,111,34,2
12,73,24,2
11,85,29,2
11,64,22,2
7,35,11,1
7,52,15,2
7,63,21,2
13,96,34,2
20,157,49,2
23,163,54,2
13,96,34,2
20,157,49,2
23,163,54,2
13,96,34,2
20,157,49,2
23,163,54,2
13,96,34,2
20,157,49,2
41,252,84,2
3,7,3,1
17,112,38,2
15,98,33,2
17,131,43,2
8,61,21,2
15,98,33,2
17,131,43,2
8,61,21,2
15,98,33,2
17,131,43,2
8,61,21,2
15,105,29,2
13,73,20,1
9,48,14,1
13,85,26,2
5,44,15,2
7,44,11,1
9,48,14,1
13,85,26,2
5,44,15,2
7,44,11,1
9,48,14,1
13,85,26,2
5,44,15,2
7,44,11,1
9,48,14,1
13,85,26,2
5,44,15,2
10,59,16,1
3,23,7,2
7,50,16,2
6,46,15,2
13,89,26,2
12,75,23,1
16,104,33,2
13,82,28,2
8,75,22,2
19,136,41,2
7,54,13,1
19,136,41,2
10,74,22,2
17,142,45,2
30,219,71,2
15,100,33,2
14,100,30,2
19,131,38,2
18,114,36,2
9,70,20,2
6,48,15,2
9,70,20,2
7,46,15,2
25,177,60,2
4,11,6,1
14,119,34,2
19,153,52,2
16,104,33,2
19,139,42,2
1,1,1,1
10,90,29,2
16,104,33,2
19,139,42,2
1,1,1,1
10,90,29,2
16,104,33,2
19,139,42,2
1,1,1,1
23,180,57,2
8,72,22,2
5,32,10,1
8,72,22,2
6,43,13,2
13,99,29,2
11,83,27,2
6,65,21,3
13,99,29,2
11,83,27,2
6,65,21,3
13,99,29,2
11,83,27,2
6,65,21,3
13,99,29,2
11,83,27,2
5,50,17,3
7,42,16,2
13,112,35,2
32,233,69,2
23,143,41,1
33,285,91,2
31,248,76,2
11,73,22,2
10,67,21,2
12,76,21,1
10,75,23,2
4,31,7,1
11,73,22,2
10,67,21,2
12,76,21,1
10,75,23,2
4,31,7,1
11,73,22,2
10,67,21,2
12,76,21,1
10,75,23,2
4,31,7,1
11,73,22,2
10,67,21,2
12,76,21,1
10,75,23,2
4,31,7,1
11,73,22,2
10,67,21,2
12,76,21,1
10,75,23,2
17,122,37,2
17,125,36,2
13,96,30,2
17,125,36,2
13,96,30,2
4,12,6,1
1,1,1,1
6,41,12,1
18,126,40,2
13,77,25,1
18,126,40,2
13,77,25,1
18,126,40,2
10,55,18,1
12,81,22,1
10,71,21,2
7,57,20,2
15,96,28,1
12,81,22,1
10,71,21,2
7,57,20,2
15,96,28,1
12,81,22,1
10,71,21,2
7,57,20,2
15,96,28,1
12,81,22,1
10,71,21,2
7,57,20,2
15,96,28,1
34,278,98,3
8,52,18,2
10,69,17,1
12,80,25,2
4,31,9,2
10,69,17,1
12,80,25,2
4,31,9,2
10,69,17,1
12,80,25,2
6,44,13,2
21,133,42,2
10,67,22,2
18,151,48,2
19,125,39,2
24,146,47,2
25,194,65,2
17,148,47,2
28,184,52,2
23,172,60,2
17,148,47,2
28,184,52,2
23,172,60,2
17,148,47,2
28,184,52,2
10,63,21,2
17,122,39,2
20,122,38,2
17,122,39,2
20,122,38,2
17,122,39,2
19,111,39,2
2,3,2,1
12,77,23,1
15,106,33,2
14,96,30,2
8,67,23,2
15,106,33,2
14,96,30,2
8,67,23,2
15,106,33,2
14,96,30,2
29,252,83,2
12,96,32,2
28,211,65,2
21,162,56,2
16,143,49,3
11,66,20,1
5,44,14,2
3,19,6,1
16,119,34,2
5,38,12,2
8,62,22,2
5,38,12,2
8,62,22,2
5,38,12,2
13,90,30,2
8,50,19,2
18,134,42,2
15,98,29,2
6,38,11,1
21,140,46,2
6,37,12,1
4,25,7,1
6,37,12,1
21,135,40,2
3,23,8,2
5,27,7,1
10,72,23,2
6,34,9,1
17,127,43,2
11,57,21,1
6,31,9,1
18,156,49,2
3,15,5,1
3,23,7,2
9,69,19,2
3,18,6,1
3,15,5,1
3,23,7,2
9,69,19,2
3,18,6,1
3,15,5,1
3,23,7,2
9,69,19,2
8,76,19,2
1,1,1,1
2,7,3,1
8,50,15,1
1,4,1,1
2,7,2,1
4,28,10,2
1,2,1,1
4,17,5,1
1,1,1,1
2,7,3,1
11,75,23,2
12,81,24,2
1,1,1,1
2,7,3,1
8,50,15,1
1,4,1,1
2,7,2,1
4,28,10,2
1,2,1,1
4,17,5,1
1,1,1,1
2,7,3,1
11,75,23,2
12,81,24,2
1,1,1,1
2,7,3,1
8,50,15,1
1,4,1,1
2,7,2,1
4,28,10,2
